SMILES_spectra,CAS,Molecular_Formula,Precursor_m/z,Spectrum,Ionization_Mode,Instrument_Type,Collision_Energy,SMILES_tox,Response_Modifier,Response,Response_Unit
'C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','60628-96-8','C22H18N2','311.1543','91.0542:9.850337 115.0543:5.237454 141.0698:1.028348 165.0699:10.732397 166.0777:0.212269 178.0776:0.269982 202.0774:0.796806 215.0856:3.320161 227.0857:0.638571 228.0934:9.314944 241.1011:3.367561 242.1091:1.197726 243.1169:100.000000','positive','LC-ESI-QFT','35  (nominal)','C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','',1463,'mg/kg'
'C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','60628-96-8','C22H18N2','311.1543','91.0542:9.238846 92.0575:0.722857 115.0545:6.186890 116.0576:0.648178 141.0687:1.195826 165.0692:12.519627 166.073:1.708687 202.0768:1.087636 215.085:3.923534 216.089:0.820195 227.0848:0.643391 228.0932:14.484905 229.0965:2.331333 241.101:5.058084 242.1067:2.351120 243.1173:100.000000 244.1201:43.695347 245.1239:2.865258','positive','LC-ESI-QTOF','Ramp 21.8-32.7 eV','C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','',1463,'mg/kg'
'C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','60628-96-8','C22H18N2','311.1543','115.0538:10.687761 116.0566:1.303890 139.053:0.835420 141.0689:17.770682 142.0721:1.656661 152.0608:1.563931 163.0526:0.968985 164.0606:2.555035 165.0688:100.000000 166.0735:15.262437 167.0781:1.347278 178.0766:1.875867 202.0767:8.339737 203.0817:2.066431 204.0903:0.648826 215.0848:16.066096 216.089:3.495096 217.097:0.537380 226.0768:3.891821 227.0845:11.465615 228.0926:77.231260 229.0959:11.521480 230.099:0.816137 239.0849:4.861373 240.0917:3.883313 241.1005:43.854162 242.1067:18.028738 243.1148:8.628703 244.1192:1.547767','positive','LC-ESI-QTOF','50 eV','C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','',1463,'mg/kg'
'C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','60628-96-8','C22H18N2','311.1543','115.0537:10.548374 116.0569:1.059415 141.069:8.274190 142.0722:0.977604 152.061:0.660695 164.0607:0.649176 165.069:69.000216 166.0732:10.477785 167.0773:0.641202 178.0766:1.662517 193.0749:0.891953 202.0768:6.478766 203.0817:1.407041 215.085:17.537502 216.0888:3.290774 226.0773:1.022201 227.0846:5.414330 228.0929:80.929344 229.0961:11.457457 230.0993:0.928576 239.0847:1.155994 240.0919:1.044943 241.1009:27.493111 242.1073:13.653373 243.1164:100.000000 244.1199:15.873508 245.1232:1.137092','positive','LC-ESI-QTOF','40 eV','C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','',1463,'mg/kg'
'C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','60628-96-8','C22H18N2','311.1543','115.0537:2.076017 141.0688:0.959367 165.0689:12.494146 166.0727:1.704546 202.0768:1.072215 215.0847:4.015370 216.0882:0.723921 227.0847:0.585978 228.093:13.170594 229.0961:2.094239 241.1009:4.558511 242.1068:2.006806 243.1173:100.000000 244.12:33.948029 245.1231:2.188226','positive','LC-ESI-QTOF','30 eV','C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','',1463,'mg/kg'
'C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','60628-96-8','C22H18N2','311.1543','165.0683:1.266311 228.0924:1.144415 243.1171:100.000000 244.1197:39.785450 245.1229:2.541260','positive','LC-ESI-QTOF','20 eV','C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','',1463,'mg/kg'
'C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','60628-96-8','C22H18N2','311.1543','243.1172:100.000000 244.1198:39.880898 245.1232:2.384442 311.154:2.850855 312.1571:0.723645','positive','LC-ESI-QTOF','10 eV','C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1','',1463,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:42.453692 83.0855:100.000000 100.112:4.017682','positive','LC-ESI-ITFT','105% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:35.730183 83.0855:100.000000 100.1121:5.505223','positive','LC-ESI-ITFT','100% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:36.739840 83.0855:100.000000 100.1121:7.995696 182.1902:1.546088','positive','LC-ESI-ITFT','95% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
'C1CCC(CC1)NC1CCCCC1','122-39-4','C12H23N','182.1903','55.0541:36.024935 83.0855:100.000000 100.1121:12.057150 182.1903:4.789830','positive','LC-ESI-ITFT','90% (nominal)','C1CCC(CC1)NC1CCCCC1','',373,'mg/kg'
